q1,q2,q3,q4,q5,q6,dq1,dq2,dq3,dq4,dq5,dq6,t1,t2,t3,t4,t5,t6
1.416036585144228e-05,-2.6151635423875268e-05,3.280119376388344e-05,-0.02347819670701994,-5.8758796327856746e-05,0.004645070778921799,0.0019254252031755453,-0.003861102291480305,0.005382713852279959,-1.8752598045516846,-0.00815954449223832,0.33053950353762823,1.4716799285846138,-29.63422584399671,29.963038850778513,-94.59773197514758,3.4236605069551014,6.582999263886221
1.8858749319855704e-05,-3.5706503067479106e-05,4.6291794908554387e-05,-0.02751194002759507,-7.865429436556877e-05,0.005336254386043279,0.0023491917342067124,-0.004777433821801919,0.006745300572335473,-2.0168716602875656,-0.00994774901885601,0.34559180356074026,1.6161559889635038,-30.019646439309696,30.222493250323286,-91.15948579830051,3.365928892963018,5.95136915809948
2.4486466423297885e-05,-4.728343538086553e-05,6.278721054821998e-05,-0.03181795681407747,-0.00010244206234323231,0.006054440102133014,0.0028138585517210905,-0.005788466156693212,0.008247707819832797,-2.1530083932411967,-0.011893883988831767,0.3590928580448673,1.7601608727998435,-30.402998403533445,30.47902863128825,-87.63935315691126,3.309990505428955,5.3805288162150084
3.1124640365366604e-05,-6.107128395177882e-05,8.256278543546112e-05,-0.03638506325896176,-0.00013042896407042365,0.006796823761723202,0.0033190869710343603,-0.006893924285456644,0.009887787443620573,-2.283553222442144,-0.013993450863595675,0.37119182979509413,1.9036841467402703,-30.784186821352996,30.73253264012495,-84.04409385421708,3.2558129442490316,4.864623915623105
3.8853690783397743e-05,-7.725831952514706e-05,0.0001058894152894102,-0.04120186301228349,-0.00016291288877764726,0.00756087079510469,0.0038645252090155685,-0.008093517786684119,0.011663314926974542,-2.4083998766608667,-0.01624196235361181,0.38202351669074397,2.0467104892729773,-31.16311829466251,30.982896751363832,-80.38046892588794,3.2033632489889463,4.398363948783198
4.77533100620446e-05,-9.603220044469748e-05,0.00013303339860983002,-0.046256768173527175,-0.0002001827769246816,0.00834429026654666,0.004449809639323426,-0.00938694045977521,0.013571991660209904,-2.527452580621842,-0.018634944073517172,0.39170973572098544,2.1892197138219176,-31.539700823981146,31.23001619173499,-76.65523028636132,3.152608038394177,3.976967900250576
5.7902442117369125e-05,-0.00011757994038863315,0.00016425629319297694,-0.051538020224221444,-0.000242518649404114,0.009145011413866555,0.005074566027662266,-0.010773869971967838,0.015611447291573453,-2.640626025347134,-0.021167936239716204,0.40036057365994715,2.3311868174016177,-31.91384366975513,31.47378984052384,-72.87511056279403,3.103513644480309,3.596115158068972
6.93792635977709e-05,-0.00014208787543351504,0.00019981477750723474,-0.05703371087011689,-0.0002901916402377187,0.00996116244832809,0.005738410740200888,-0.012253967522440942,0.017779242157128894,-2.747845322947724,-0.023836495416802342,0.40807551723076746,2.4725820549123148,-32.28545719724927,31.71412010981536,-69.04681312898754,3.056046240939379,3.2519011551926527
8.226116743490014e-05,-0.00016974163048296727,0.00023996051708576006,-0.06273180276251275,-0.00034346403287320744,0.010791051397068057,0.006440951918564614,-0.013826877524726116,0.02007286978926267,-2.849045946197932,-0.026636196317744373,0.4149444743699826,2.6133710389848206,-32.65445270882075,31.950912808388928,-65.17700235113416,3.010171965637576,2.9407972851936486
9.662474866512863e-05,-0.00020072608509964578,0.0002849400360904629,-0.06862015006900377,-0.00040258930019580616,0.011633148791237882,0.007181790615114244,-0.01549222730833925,0.0224897595023514,-2.94417365324551,-0.029562633661299364,0.4210486970849124,2.7535148650862893,-33.02074226740031,32.18407699308011,-61.272294056713534,2.9658570370162582,2.659614680420106
0.00011254579243026354,-0.00023522533878008448,0.00033499459419658936,-0.07468651886465665,-0.00046781214837303994,0.012486072022009378,0.007960521882567451,-0.017249626840219356,0.02502727905306323,-3.033184397826441,-0.032611424088616885,0.42646161538574817,2.8929702613778674,-33.38423851498497,32.413524811423066,-57.33924623734183,2.9230678642401626,2.405471480451537
0.00013009926405505487,-0.00027342267571257335,0.00039036006894004895,-0.08091860731539487,-0.0005393685646520427,0.013348571203730378,0.00877673581239566,-0.019098668466244438,0.027682737371729795,-3.116044225369112,-0.035778208139501354,0.43124959086050035,3.0316897625795733,-33.74485448986965,32.639171339332265,-53.3843499958423,2.881771150966575,2.175763254553044
0.00014935930108874362,-0.00031550052905815007,0.00045126684366052667,-0.08730406562616957,-0.0006174858692266851,0.01421951639900124,0.009630018516844382,-0.02103892667278836,0.030453387360238858,-3.192729155387352,-0.039058652287321194,0.4354725976354311,3.1696219068534606,-34.10250344622105,32.860934417476216,-49.41402074726439,2.8419339926347664,1.9681362742327273
